  Freshman       Yes       Tue         A     4 - 6      Easy
  Freshman       Yes       Tue         A     4 - 6  Moderate
  Freshman       Yes       Tue         A     4 - 6  Moderate
  Freshman        No       Fri         A     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
  Freshman        No       Tue         C     7 - 9 Difficult
  Freshman       Yes       Thu         A     4 - 6  Moderate
  Freshman       Yes       Tue         B     >= 10  Moderate
  Freshman        No       Fri         B     7 - 9  Moderate
 Sophomore       Yes       Thu         C     7 - 9 Difficult
  Freshman        No       Fri         A     7 - 9  Moderate
  Freshman        No       Tue         A     7 - 9      Easy
 Sophomore       Yes       Tue         A     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
    Senior       Yes       Fri         B     7 - 9  Moderate
  Freshman        No       Wed         A     4 - 6  Moderate
  Freshman        No      Null         A     7 - 9  Moderate
  Freshman       Yes       Tue         A     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
  Freshman        No       Fri         A     7 - 9  Moderate
  Freshman       Yes       Fri         A     4 - 6  Moderate
  Freshman       Yes       Fri         A     4 - 6      Easy
 Sophomore       Yes       Thu         A     7 - 9      Easy
  Freshman        No       Tue         A     7 - 9  Moderate
       Yes       Yes       Tue         B     4 - 6 Difficult
  Freshman        No       Thu         A     4 - 6  Moderate
 Sophomore       Yes       Tue         A     7 - 9  Moderate
    Junior        No       Wed         A     4 - 6  Moderate
  Freshman        No       Tue         C     4 - 6  Moderate
 Sophomore       Yes       Thu         C     7 - 9 Difficult
  Freshman        No       Tue         A     4 - 6  Moderate
  Freshman       Yes       Tue         A     0 - 3      Easy
  Freshman       Yes       Fri         A     0 - 3  Moderate
  Freshman       Yes       Tue         A     4 - 6      Easy
  Freshman        No       Thu         B     4 - 6  Moderate
  Freshman        No       Tue         B     4 - 6  Moderate
  Freshman        No       Fri         A     4 - 6  Moderate
  Freshman       Yes       Tue         A     0 - 3  Moderate
    Junior        No       Wed         B     7 - 9 Difficult
      Null      Null      Null      Null      Null      Null
  Freshman       Yes       Fri         A     7 - 9  Moderate
  Freshman        No       Thu         B     7 - 9  Moderate
    Senior        No       Fri         B     4 - 6 Difficult
  Freshman        No       Thu         A     4 - 6  Moderate
    Junior        No       Thu         A     4 - 6  Moderate
  Freshman        No       Fri         A     4 - 6  Moderate
    Senior        No       Thu         B     4 - 6  Moderate
  Freshman        No       Fri         B     4 - 6 Difficult
  Freshman       Yes       Wed         A     0 - 3  Moderate
  Freshman       Yes       Tue         A     0 - 3      Easy
    Junior       Yes       Fri         A     0 - 3  Moderate
  Freshman        No       Thu         A     4 - 6  Moderate
 Sophomore       Yes       Thu         A     7 - 9 Difficult
  Freshman        No       Tue         B     7 - 9  Moderate
  Freshman        No       Wed         B     7 - 9 Difficult
  Freshman        No       Tue         A     4 - 6  Moderate
